VendorNumber,VendorName,Brand,Description,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,Volume,ActualPrice,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseratio
1392,"CONSTELLATION BRANDS INC",15812,"Diseno Torrontes Salta",4.54,26,118.03999999999999,750,11.99,685.0200000000003,335.5200000000002,98,10.899999999999997,79528.99,566.9800000000004,82.76838632448688,3.769230769230769,5.803287021348699
4425,"MARTIGNETTI COMPANIES",34082,"Dom du Dupeuble Bjls",10.73,11,118.03,750,15.99,1359.1500000000005,1023.3600000000005,85,9.39,144929.24,1241.1200000000006,91.31589596438951,7.7272727272727275,11.515292722189278
1392,"CONSTELLATION BRANDS INC",29203,"La Terre Chard Cal",6.54,18,117.72,1500,9.49,56.940000000000005,56.940000000000005,6,1.32,79528.99,-60.779999999999994,-106.74394099051632,0.3333333333333333,0.48369011213047913
9552,"M S WALKER INC",35358,"Cataldi Madonna Malandrino",9.05,13,117.64999999999999,750,17.99,782.4200000000002,431.6800000000002,58,6.440000000000002,55551.819999999985,664.7700000000002,84.9633189335651,4.461538461538462,6.650403739906505
4692,"KOBRAND CORPORATION",25077,"Jadot Mercurey 13",19.6,6,117.60000000000001,750,29.99,1919.3600000000004,1409.5300000000002,64,7.070000000000003,9139.38,1801.7600000000004,93.87295765255087,10.666666666666666,16.32108843537415
9552,"M S WALKER INC",24044,"Dom LaFage Mira Cd Rousillon",9.8,12,117.6,750,14.99,179.88,14.99,12,1.35,55551.819999999985,62.28,34.62308205470313,1,1.529591836734694
90024,"VINILANDIA USA",22590,"Ch Motte Maucourt Brdx",9.8,12,117.6,750,14.99,179.88,14.99,12,1.35,2802.6400000000003,62.28,34.62308205470313,1,1.529591836734694
9165,"ULTRA BEVERAGE COMPANY LLP",2671,"Christian Drouin Calvados",16.78,7,117.46000000000001,375,22.99,942.5900000000003,735.6800000000002,41,16.040000000000006,68054.70000000003,825.1300000000002,87.53859047942372,5.857142857142857,8.02477439128214
12546,"JIM BEAM BRANDS COMPANY",2505,"Bowmore Legend Single Malt",16.78,7,117.46000000000001,750,26.99,242.91,215.92000000000002,9,7.1000000000000005,123880.96999999999,125.44999999999999,51.64464204849533,1.2857142857142858,2.0680231568193426
17035,"PERNOD RICARD USA",1492,"The Glenlivet Oloroso Nadu",58.59,2,117.18,750,79.99,794.9,794.9,10,7.9,123780.21999999997,677.72,85.25852308466474,5,6.78358081583888
2396,"BLACK PRINCE DISTILLERY INC",3514,"Llord's Blue Curacao",4.5,26,117,1000,5.99,95.84,23.96,16,16.8,30.98,-21.159999999999997,-22.078464106844738,0.6153846153846154,0.8191452991452992
4425,"MARTIGNETTI COMPANIES",23468,"Il Poggione di Montalcino",116.99,1,116.99,1500,178.99,715.96,715.96,4,0.88,144929.24,598.97,83.65970165931057,4,6.119839302504488
17035,"PERNOD RICARD USA",626,"Hiram Walker Cherry Brandy",6.87,17,116.78999999999999,750,8.79,105.47999999999996,70.32,12,9.45,123780.21999999997,-11.31000000000003,-10.722411831626882,0.7058823529411765,0.9031595170819416
4425,"MARTIGNETTI COMPANIES",21250,"Bodega Garzon Albarino",9.73,12,116.76,750,14.99,179.88,14.99,12,1.35,144929.24,63.11999999999999,35.090060040026685,1,1.540596094552929
7153,"PINE STATE TRADING CO",22103,"Nodus Cava Brut",9.73,12,116.76,750,14.99,0,0,0,0,15884.819999999998,-116.76,NULL,0,0
90047,"CRUSH WINES",24982,"Molly Dooker Girl on the Go",19.46,6,116.76,750,28.99,0,0,0,0,1457.7299999999998,-116.76,NULL,0,0
4692,"KOBRAND CORPORATION",22549,"Jadot Savigny Les Beaune 12",23.33,5,116.64999999999999,750,34.99,489.86000000000007,314.91,14,1.5500000000000005,9139.38,373.2100000000001,76.18707385783694,2.8,4.199399914273468
4425,"MARTIGNETTI COMPANIES",13319,"Collezione Chianti",3.24,36,116.64000000000001,750,4.99,179.64000000000001,54.890000000000015,36,4.040000000000001,144929.24,63,35.07014028056112,1,1.5401234567901234
3252,"E & J GALLO WINERY",18137,"Gallo Twin Vly Red Moscato",6.84,17,116.28,1500,9.99,59.940000000000005,49.95,6,1.33,61966.909999999996,-56.339999999999996,-93.99399399399398,0.35294117647058826,0.5154798761609908
